"","market_cap_intra_day_5","enterprise_value_3","trailing_p_e","forward_p_e_1","peg_ratio_5_yr_expected_1","price_sales_ttm","price_book_mrq","enterprise_value_revenue_3","enterprise_value_ebitda_6","beta_5y_monthly","x52_week_change_3","s_p500_52_week_change_3","x52_week_high_3","x52_week_low_3","x50_day_moving_average_3","x200_day_moving_average_3","avg_vol_3_month_3","avg_vol_10_day_3","shares_outstanding_5","float","percent_held_by_insiders_1","percent_held_by_institutions_1","shares_short_4","short_ratio_4","short_percent_of_float_4","short_percent_of_shares_outstanding_4","shares_short_prior_month_4","forward_annual_dividend_rate_4","forward_annual_dividend_yield_4","trailing_annual_dividend_rate_3","trailing_annual_dividend_yield_3","x5_year_average_dividend_yield_4","payout_ratio_4","dividend_date_3","ex_dividend_date_4","last_split_factor_2","last_split_date_3","profit_margin","operating_margin_ttm","return_on_assets_ttm","return_on_equity_ttm","revenue_ttm","revenue_per_share_ttm","quarterly_revenue_growth_yoy","gross_profit_ttm","ebitda","net_income_avi_to_common_ttm","diluted_eps_ttm","quarterly_earnings_growth_yoy","total_cash_mrq","total_cash_per_share_mrq","total_debt_mrq","total_debt_equity_mrq","current_ratio_mrq","book_value_per_share_mrq","operating_cash_flow_ttm","levered_free_cash_flow_ttm","Code"
"468","29.22M","18.25M","N/A","N/A","N/A","417.39","1.33","260.65","-16.15","0.94","N/A","N/A","0.0170","0.0040","0.0070","0.0092","8.49M","50.92M","3.65B","818.34M","67.33%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,339.39%","-5.45%","-9.52%","70k","0.00","64.30%","70k","-1.13M","-1.51M","-0.0010","N/A","2.1M","0","N/A","N/A","3.79","0.01","-692.16k","-4.39M","PNX.AX"
"469","46.26M","40.62M","N/A","N/A","N/A","N/A","2.95","N/A","-35.04","0.93","N/A","N/A","0.1700","0.0150","0.1171","0.0912","439.62k","471.95k","280.36M","142.38M","40.48%","4.38%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-13.84%","-22.54%","N/A","N/A","N/A","N/A","-1.16M","-2.62M","-0.0140","N/A","2.38M","0.01","322.34k","2.97","4.23","0.06","-1.54M","-2.8M","POD.AX"
"470","41.18M","18.02M","N/A","N/A","N/A","6,068.80","0.68","2,655.95","-10.25","1.88","N/A","N/A","0.0650","0.0110","0.0342","0.0396","1.85M","11.87M","541.88M","375.08M","33.09%","22.88%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","03 Aug 2017","0.00%","-130,903.04%","-18.73%","-30.23%","6.79k","0.00","822.00%","N/A","-1.76M","-8.89M","-0.0210","N/A","4.18M","0.01","N/A","N/A","30.43","0.06","-1.49M","-3.97M","PXX.AX"
"471","210.71M","164.46M","N/A","N/A","N/A","N/A","3.26","N/A","-14.12","0.77","N/A","N/A","0.0970","0.0250","0.0727","0.0614","8.22M","8.09M","2.81B","2.01B","42.21%","0.20%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:2","04 Jul 2007","0.00%","0.00%","-5.12%","-18.99%","N/A","N/A","N/A","N/A","-11.65M","-12.85M","-0.0050","N/A","45.25M","0.02","24.72M","40.34","1.52","0.02","-9.98M","-11.76M","POS.AX"
"472","66.22M","59.43M","N/A","N/A","N/A","144.99","15.26","130.12","-19.81","-0.08","N/A","N/A","0.3450","0.1000","0.2419","0.2457","68.11k","56.76k","228.36M","145.21M","32.82%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","09 May 2000","1:8","01 Sep 2005","0.00%","-675.68%","-23.43%","-58.50%","456.73k","0.00","-16.60%","456.73k","-3M","-3.31M","-0.0150","N/A","2.57M","0.01","438.18k","10.96","1.97","0.02","-3.77M","-2.14M","PDZ.AX"
"473","63.06M","44.91M","N/A","N/A","N/A","N/A","3.87","N/A","-28.35","6.52","N/A","N/A","0.1200","0.0050","0.0598","0.0661","3.35M","3.63M","1.02B","693.27M","17.06%","3.58%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","19 May 2017","0.00%","0.00%","-11.13%","-28.12%","N/A","N/A","N/A","N/A","-1.58M","-2.35M","-0.0050","N/A","8.64M","0.01","N/A","N/A","8.83","0.02","-3.96M","-121.79k","PDI.AX"
"474","182.5M","280.23M","28.12","N/A","N/A","0.38","1.31","0.59","11.71","0.39","N/A","N/A","0.2450","0.0600","0.1977","0.1826","742.25k","497.11k","811.11M","318.89M","61.65%","12.54%","N/A","N/A","N/A","N/A","N/A","N/A","1.82%","0.00","1.76%","N/A","0.00%","N/A","15 Sep 2020","N/A","N/A","1.39%","3.08%","2.63%","4.84%","478.2M","0.59","-0.60%","195.16M","23.93M","6.64M","0.0080","N/A","23.4M","0.03","125.18M","89.71","1.60","0.17","53.45M","43M","PPG.AX"
"475","25.55M","13.69M","N/A","N/A","N/A","33.78","1.22","18.10","-2.25","0.10","N/A","N/A","0.0890","0.0280","0.0464","0.0571","888.75k","786.96k","580.63M","341.84M","15.68%","38.94%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:15","01 Jul 2014","0.00%","-809.94%","-17.58%","-31.20%","756.24k","0.00","-58.40%","N/A","-6.09M","-5.62M","-0.0100","N/A","10.7M","0.02","N/A","N/A","12.67","0.04","-6.89M","-5.1M","PRX.AX"
"476","N/A","14.57M","N/A","N/A","N/A","N/A","2.81","N/A","-35.03","N/A","N/A","N/A","0.2500","0.1570","0.2012","0.2058","337.08k","198.83k","N/A","53.83M","50.26%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","0.00%","-5.02%","-8.57%","N/A","N/A","N/A","N/A","-416k","-429.66k","-0.0080","N/A","57.2k","0","N/A","N/A","0.14","0.06","-124.28k","-705.85k","PRS.AX"
"477","54.79M","44.25M","N/A","N/A","N/A","174.51","1.62","140.93","-10.39","2.72","N/A","N/A","17.0000","0.0600","0.1661","0.1539","904.32k","941.13k","332.09M","171.66M","43.08%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","13 Jun 2019","0.00%","-1,385.03%","-9.37%","-16.41%","314k","0.00","N/A","54k","-4.26M","-4.39M","-0.0180","N/A","1.71M","0.01","N/A","N/A","4.65","0.10","-4.22M","-6.75M","PSC.AX"
"478","12.81M","10.07M","N/A","N/A","N/A","N/A","2.60","N/A","-5.78","1.23","N/A","N/A","0.0397","0.0035","N/A","N/A","N/A","N/A","671.02M","353.72M","35.50%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","0.00%","-21.67%","-36.22%","N/A","N/A","N/A","-40.94k","-1.74M","-1.73M","-0.0050","N/A","2.91M","0.01","N/A","N/A","10.23","0.01","-1.54M","-902.93k","PRL.AX"
"479","28.88M","11.55M","N/A","N/A","N/A","N/A","3.36","N/A","-11.17","1.75","N/A","N/A","0.0420","0.0019","0.0283","0.0184","14.26M","12.05M","780.57M","288.03M","31.47%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:29","04 Jul 2017","0.00%","0.00%","-16.48%","-27.67%","N/A","N/A","N/A","N/A","-1.03M","-1.02M","-0.0030","N/A","462.06k","0","N/A","N/A","4.70","0.01","-906.71k","-1.22M","PUR.AX"
"480","10M","7.46M","N/A","N/A","N/A","34.28","4.00","25.56","N/A","0.12","N/A","N/A","0.1600","0.0500","0.0863","0.0941","81.84k","598.09k","100M","20.76M","80.92%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-373.60%","-20.04%","-35.68%","291.73k","0.00","125.40%","291.73k","N/A","-1.09M","-0.0110","N/A","2.64M","0.03","93.21k","3.71","10.74","0.03","-1.22M","-818.46k","QEM.AX"
"481","11.16M","11.15M","N/A","N/A","N/A","20.80","0.73","20.78","-10.57","1.98","N/A","N/A","0.0620","0.0210","0.0510","0.0481","N/A","N/A","218.87M","71.59M","54.17%","18.32%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:35","29 Nov 2019","-179.00%","-207.01%","-4.02%","-6.05%","536.61k","0.00","N/A","N/A","-1.06M","-960.53k","-0.0040","N/A","13.44k","0","N/A","N/A","0.13","0.07","-287.09k","-45.79k","QGL.AX"
"482","11M","6.43M","N/A","N/A","N/A","165.90","0.51","96.96","-3.26","0.87","N/A","N/A","0.2150","0.0500","0.0737","0.0817","543.95k","382.4k","127.91M","46.36M","45.68%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-3,331.27%","-16.29%","-29.08%","66.31k","0.00","106.30%","66.31k","-1.97M","-2.38M","-0.0360","N/A","1.18M","0.01","N/A","N/A","4.72","0.17","-4.53M","-1.13M","RFR.AX"
"483","3.45M","3.57M","N/A","N/A","N/A","6,630.12","N/A","6,860.85","-7.44","1.00","N/A","N/A","0.0115","0.0030","0.0110","0.0107","N/A","N/A","313.42M","190.39M","41.15%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:150","07 Apr 2017","0.00%","-81,516.16%","-40.78%","-144.06%","520","0.00","-93.90%","520","-479.26k","-498.17k","-0.0020","N/A","247.69k","0","367.67k","401.95","0.51","0.00","-361.16k","-260.92k","RAG.AX"
"484","20.12M","12.61M","N/A","N/A","N/A","1,322.76","23.00","829.10","-7.93","0.12","N/A","N/A","0.0510","0.0040","0.0292","0.0230","3.53M","2.95M","874.8M","340.31M","40.68%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:30","12 Sep 2017","0.00%","-10,556.99%","-80.56%","-146.88%","15.21k","0.00","-72.00%","N/A","-1.59M","-1.59M","-0.0040","N/A","314.27k","0","N/A","N/A","1.56","0.00","-1.35M","-853.19k","RDN.AX"
"485","1.13B","1.04B","8.63","N/A","N/A","2.46","2.18","2.26","4.23","0.17","N/A","N/A","2.5300","0.7620","1.6273","1.9497","5.85M","5.54M","814.02M","770.61M","4.12%","36.27%","N/A","N/A","N/A","N/A","N/A","0.02","1.39%","0.02","1.39%","N/A","6.20%","N/A","01 Sep 2020","1:1","05 Jan 2004","24.63%","32.71%","16.35%","28.56%","460.57M","0.67","76.80%","171.22M","245.96M","113.42M","0.1610","444.80%","169.04M","0.21","53.96M","10.47","1.70","0.64","236.03M","80.54M","RMS.AX"
"486","105.26M","101.52M","N/A","N/A","N/A","37.48","1.22","36.15","49.71","0.19","N/A","N/A","2.4400","1.4950","1.8461","2.0804","6.74k","3.66k","60.15M","40.06M","77.59%","2.52%","N/A","N/A","N/A","N/A","N/A","0.1","5.71%","0.10","5.71%","N/A","0.00%","N/A","11 Nov 2020","1:1","04 Dec 2009","-54.71%","-96.43%","-1.57%","-1.71%","2.81M","0.05","13,928.50%","5.91M","2.04M","-1.54M","-0.0260","N/A","5.63M","0.09","1.89M","2.20","14.96","1.43","-41.08M","-43.09M","RND.AX"
"487","11.28M","7.99M","N/A","N/A","N/A","8.03","1.32","5.69","-3.77","-0.22","N/A","N/A","0.0290","0.0070","0.0211","0.0167","1.52M","1.1M","451.37M","238.21M","31.10%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","-256.30%","-244.91%","-18.96%","-45.59%","1.41M","0.00","-30.60%","-1.4M","-2.12M","-3.6M","-0.0130","N/A","1.04M","0","N/A","N/A","0.55","0.02","-2.02M","-670.62k","RAN.AX"
"488","46.99M","37.36M","N/A","N/A","N/A","34.81","6.39","27.68","-11.75","1.80","N/A","N/A","0.2050","0.0130","0.1211","0.1052","3.84M","4.99M","408.64M","273.89M","22.82%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:25","06 Aug 2019","0.00%","-239.51%","-43.87%","-173.54%","1.35M","0.00","115.80%","-1.46M","-3.18M","-6.69M","-0.0250","N/A","3.43M","0.01","N/A","N/A","2.67","0.02","-1.35M","628.14k","REE.AX"
"489","15M","11.52M","N/A","N/A","N/A","45.21","N/A","34.73","-7.21","0.77","N/A","N/A","0.0150","0.0050","0.0093","0.0095","1.02M","6.23M","1.25B","433.49M","50.18%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-493.26%","-114.54%","N/A","331.76k","0.00","-34.30%","157.16k","-1.6M","-1.89M","-0.0020","N/A","493.96k","0","1.42M","N/A","0.41","-0.00","-1.53M","-1M","RBR.AX"
"490","463.16M","334.14M","78.33","N/A","N/A","2.31","2.30","1.67","7.62","0.80","N/A","N/A","0.3750","0.1750","0.2525","0.2777","4.54M","4.73M","1.97B","1.69B","5.74%","39.76%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","25 Nov 2011","2.23%","9.60%","4.62%","3.30%","200.33M","0.15","14.30%","39.23M","43.88M","4.46M","0.0030","N/A","116.22M","0.06","22.96M","11.71","1.70","0.10","51.51M","23.53M","RED.AX"
"491","26.95M","26.54M","N/A","N/A","N/A","5,391.19","2.60","5,309.64","N/A","0.48","N/A","N/A","0.4500","0.1200","0.2997","0.2272","3.27k","4.79k","59.88M","7.79M","85.34%","0.40%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-11,821.69%","-3.43%","-5.12%","5k","0.00","2,556.00%","3.72k","N/A","-543.11k","-0.0090","N/A","407.57k","0.01","N/A","N/A","8.91","0.17","-449.61k","-281.66k","RHI.AX"
"492","29.47M","23.3M","120.00","N/A","N/A","7.33","15.00","5.79","89.04","1.36","N/A","N/A","0.1750","0.0390","0.1139","0.1202","569.5k","4.14M","245.59M","129.18M","28.47%","5.08%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","6.43%","6.43%","8.51%","18.29%","4.02M","0.02","262.90%","4.02M","261.65k","258.71k","0.0010","2,655.50%","1.34M","0.01","225.45k","13.78","3.29","0.01","-138.09k","2.05k","RDM.AX"
"493","13.13M","12.66M","N/A","N/A","N/A","255.58","7.00","246.39","-8.85","-1.14","N/A","N/A","0.0220","0.0020","0.0140","0.0112","12.45M","16.07M","1.18B","788.82M","24.39%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:32","22 Sep 2016","0.00%","-4,178.38%","-47.27%","-78.86%","51.38k","0.00","-44.20%","N/A","-1.43M","-1.96M","-0.0020","N/A","1.85M","0","330.27k","18.00","6.59","0.00","-1.28M","-543.08k","RMX.AX"
"494","129.06M","118.16M","N/A","N/A","N/A","2.04","2.40","1.87","-34.24","2.04","N/A","N/A","0.3300","0.0420","0.2686","0.2006","2.07M","2.59M","517.77M","422.96M","23.14%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","0:1","15 Jun 2007","-10.84%","-20.55%","-9.29%","-12.44%","63.21M","0.12","-51.20%","11.75M","-3.45M","-6.85M","-0.0130","N/A","8.08M","0.02","7.5M","13.93","0.71","0.10","-8.63M","-17.52M","RVR.AX"
"495","36.91M","35.66M","N/A","N/A","N/A","103.15","N/A","99.65","-129.61","0.10","N/A","N/A","0.0930","0.0190","0.0698","0.0559","513.89k","817.72k","410.12M","239.15M","54.27%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:20","04 Dec 2017","-126.17%","-77.64%","-32.94%","N/A","357.85k","0.00","18,040,300.00%","357.85k","-275.12k","-451.49k","-0.0030","N/A","230.48k","0","838.77k","N/A","0.13","-0.00","-874.3k","-1.44M","RCP.AX"
"496","6.88M","6.9M","N/A","N/A","N/A","38.70","0.93","38.79","-41.83","0.90","N/A","N/A","0.0600","0.0020","0.0134","0.0151","488.24k","1.66M","529.42M","272.45M","51.22%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","-92.73%","-93.60%","-1.46%","-2.42%","177.85k","0.00","103.00%","N/A","-164.96k","-164.93k","-0.0000","N/A","381.99k","0","N/A","N/A","1.18","0.01","-107.87k","-480.36k","RDS.AX"
"497","11.74M","11.52M","N/A","N/A","N/A","91,744.93","N/A","90,025.17","N/A","0.89","N/A","N/A","0.0510","0.0020","0.0172","0.0126","3.82M","5.04M","469.73M","209.52M","59.21%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-299,899.22%","-56.89%","-140.91%","128","0.00","N/A","N/A","N/A","-383.74k","-0.0010","N/A","220.12k","0","N/A","N/A","1.50","0.00","-370.64k","-226.82k","RLC.AX"
"498","1.78B","1.62B","8.88","N/A","N/A","2.35","2.12","2.15","4.06","0.31","N/A","N/A","6.1800","2.9000","3.7338","4.6236","3.13M","2.66M","512.03M","502.93M","0.73%","49.44%","N/A","N/A","N/A","N/A","N/A","0.16","4.57%","0.16","4.57%","3.44","40.84%","N/A","25 Sep 2020","1:10","23 Nov 2007","26.37%","38.25%","17.18%","25.72%","756.66M","1.49","14.10%","304.65M","400.38M","199.52M","0.3920","27.40%","192.7M","0.38","37.9M","4.54","2.74","1.64","343.01M","42.82M","RRL.AX"
"499","6.9M","4.87M","N/A","N/A","N/A","185.67","2.67","130.91","-15.87","0.85","N/A","N/A","0.0140","0.0010","0.0079","0.0071","9.19M","6.1M","862.63M","415.35M","41.71%","1.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-3,541.81%","-23.58%","-43.48%","37.17k","0.00","-67.00%","37.17k","-306.55k","-1.39M","-0.0020","N/A","479.02k","0","N/A","N/A","2.67","0.00","-312.9k","100.98k","RNX.AX"
"500","778.24M","1.02B","N/A","N/A","N/A","1.42","0.98","1.86","9.27","0.59","N/A","N/A","1.4975","0.6050","0.7617","0.9424","6.95M","4.5M","1.1B","1.03B","11.59%","71.63%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.02","2.92%","N/A","0.00%","N/A","31 Aug 2018","1:5","24 Sep 2001","-10.56%","-7.98%","-2.44%","-17.29%","549.66M","0.57","49.80%","194.57M","110.21M","-102.95M","-0.0600","38.50%","83.12M","0.08","342.81M","42.66","1.63","0.72","4.84M","-33.71M","RSG.AX"
"501","9.65M","7.06M","N/A","N/A","N/A","216.61","0.56","158.48","-9.78","1.43","N/A","N/A","0.1550","0.0310","0.0378","0.0507","1.28M","2.06M","292.47M","227.31M","18.29%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-2,401.03%","-6.52%","-12.96%","44.56k","0.00","N/A","44.56k","-722.09k","-1.28M","-0.0100","N/A","2.16M","0.01","N/A","N/A","3.83","0.06","-839.88k","-3.36M","RML.AX"
"502","5.33M","10.43M","N/A","N/A","N/A","51,774.82","N/A","101,234.57","-25.47","0.84","N/A","N/A","0.0380","0.0050","0.0120","0.0126","102.63k","59.42k","296.27M","67.04M","77.37%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:10","30 Nov 2015","0.00%","-411,374.76%","-159.33%","N/A","103","0.00","-97.90%","103","-409.47k","-425.28k","-0.0010","N/A","43.96k","0","4.84M","N/A","0.01","-0.02","-257.4k","-84.2k","RMI.AX"
"503","19.86M","16.45M","N/A","N/A","N/A","N/A","3.29","N/A","-11.55","-1.66","N/A","N/A","0.1150","0.0060","0.0482","0.0430","4.66M","1.52M","431.68M","194.27M","51.53%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:5","01 Dec 2009","0.00%","0.00%","-9.64%","-19.44%","N/A","N/A","N/A","N/A","-1.42M","-1.45M","-0.0090","N/A","1.36M","0","116.3k","1.56","3.96","0.01","-2.21M","-3.7M","REZ.AX"
"504","28.2M","23.43M","N/A","N/A","N/A","-21.05","0.58","-17.49","-35.27","1.65","N/A","N/A","0.2200","0.0730","0.1444","0.1534","53.18k","140.81k","194.45M","76.83M","53.87%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","21 Oct 2008","0.00%","67.41%","-1.36%","-2.32%","-1.34M","-0.01","-90.30%","40.81k","-664.29k","-935.69k","-0.0060","N/A","1.28M","0.01","1.33M","3.33","0.86","0.25","1.07M","-1.11M","RWD.AX"
"505","71.49M","60.37M","N/A","N/A","N/A","N/A","3.06","N/A","-12.49","1.89","N/A","N/A","0.2600","0.0260","0.1811","0.1689","1.05M","1.01M","376.24M","241.38M","24.70%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","27 Oct 2009","0.00%","0.00%","-12.85%","-25.02%","N/A","N/A","N/A","N/A","-4.83M","-5.16M","-0.0170","N/A","2.99M","0.01","4.4M","22.82","0.57","0.06","-4.79M","-2.72M","RXM.AX"
"506","19.36M","9.15M","N/A","N/A","N/A","291.45","4.60","137.72","-40.13","1.24","N/A","N/A","0.0410","0.0070","0.0213","0.0184","462.41k","933.59k","841.71M","300.26M","46.93%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-1,708.55%","-28.52%","-46.04%","66.42k","0.00","200.00%","N/A","-227.93k","-1.13M","-0.0030","N/A","885.63k","0","N/A","N/A","47.90","0.00","-251.33k","155.04k","RIE.AX"
"507","18.06M","15.48M","N/A","N/A","N/A","341.79","1.11","292.98","-17.89","0.74","N/A","N/A","0.0170","0.0020","0.0092","0.0096","3.57M","5.74M","1.81B","1.28B","27.13%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","21 Nov 2007","0.00%","-1,709.22%","-3.84%","-6.79%","52.85k","0.00","5,838.40%","52.85k","-865.65k","-956.98k","-0.0010","N/A","310.79k","0","20.74k","0.14","0.99","0.01","-665.89k","-1.02M","RIM.AX"
"508","13.35M","16.22M","∞","N/A","N/A","133.48","28.89","162.18","N/A","N/A","N/A","N/A","0.4600","0.2400","0.3304","0.3304","351.65k","333.67k","51.34M","43.99M","51.18%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1:1","29 May 1998","12.54%","-80.42%","-7.52%","4.73%","100k","0.00","N/A","100k","N/A","12.54k","0.0000","N/A","N/A","N/A","N/A","N/A","0.81","0.01","78.97k","-185.22k","RCR.AX"
"509","199.11B","208.27B","27.92","N/A","N/A","4.76","5.07","4.98","11.65","0.59","N/A","N/A","127.00","72.77","117.61","104.37","1.33M","1.14M","1.25B","1.42B","0.90%","25.00%","N/A","N/A","N/A","N/A","N/A","5.66","4.60%","3.90","3.26%","4.86","85.00%","N/A","06 Aug 2020","1:1","17 Jun 2009","17.21%","30.08%","9.18%","17.04%","41.81B","25.79","-6.60%","16.2B","17.88B","7.2B","4.41","-19.70%","8.95B","5.53","13.78B","31.56","1.61","24.25","14.15B","7.49B","RIO.AX"
"510","17.84M","15.48M","N/A","N/A","N/A","607.92","2.37","527.58","-9.50","2.05","N/A","N/A","0.1150","0.0080","0.0513","0.0533","1.52M","1.81M","396.5M","204.23M","52.17%","0.76%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-5,734.35%","-18.68%","-31.82%","29.35k","0.00","272.30%","N/A","-1.63M","-1.66M","-0.0090","N/A","1.28M","0","35.33k","0.60","4.12","0.02","-692.58k","-603.33k","RGL.AX"
"511","2.1M","3.1M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.48","N/A","N/A","0.0030","0.0010","0.0010","0.0010","N/A","N/A","2.1B","274.88M","87.05%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:20","21 Dec 2017","0.00%","0.00%","-97.27%","N/A","N/A","N/A","N/A","N/A","N/A","-175.83k","-0.0000","N/A","117.69k","0","1.12M","N/A","0.10","-0.00","-85.31k","-90.26k","RMT.AX"
"512","4.22M","6.92M","N/A","N/A","N/A","113.77","N/A","186.61","-8.53","0.32","N/A","N/A","0.0070","0.0070","0.0070","0.0070","N/A","N/A","838.16M","158.05M","77.34%","3.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:33","10 Sep 2014","0.00%","-2,521.31%","-25.13%","-276.48%","37.07k","0.00","N/A","N/A","-811.37k","-1.09M","-0.0020","N/A","66.61k","0","1.6M","538.80","0.11","0.00","-808.09k","-577.62k","RMG.AX"
"513","75.84M","69.15M","N/A","N/A","N/A","225.51","3.36","205.61","-9.14","0.99","N/A","N/A","0.0980","0.0130","0.0449","0.0550","5.46M","8.62M","2.05B","1.76B","13.52%","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","1:1","28 Jul 2009","0.00%","-2,255.77%","-20.80%","-41.73%","336.32k","0.00","-54.30%","N/A","-7.57M","-7.47M","-0.0050","N/A","10.64M","0","N/A","N/A","6.08","0.01","-6.69M","-5.14M","RXL.AX"
"514","100.64M","117.39M","N/A","N/A","N/A","-3,882.42","19.55","-4,528.60","-27.40","1.08","N/A","N/A","0.2600","0.0530","0.1978","0.1765","244.99k","225.93k","550.78M","214.29M","21.87%","32.55%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","16,692.14%","-25.09%","-123.95%","-25.92k","0.00","-98.60%","130k","-4.28M","-10.18M","-0.0210","N/A","2.94M","0","2.9M","59.99","0.92","0.01","-4.64M","-2.68M","RTG.AX"
"515","63.86M","56.39M","N/A","N/A","N/A","218.07","4.14","192.57","-1,184.39","0.70","N/A","N/A","0.1950","0.0450","0.1249","0.1451","1.32M","1.85M","532.19M","341.54M","32.23%","0.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00%","N/A","N/A","N/A","N/A","0.00%","-212.91%","-3.53%","-9.48%","292.86k","0.00","N/A","292.86k","-47.62k","-967.1k","-0.0020","N/A","6.42M","0.01","34.99k","0.24","8.39","0.03","-33.5k","-4.41M","RTR.AX"
